BLAS,Tamaño,Operación,Iteraciones,Tiempo
cupy+cublas+10.200000,16,Producto de Matrices,5,0.0001861095428466797
cupy+cublas+10.200000,32,Producto de Matrices,5,2.1839141845703124e-05
cupy+cublas+10.200000,64,Producto de Matrices,5,2.117156982421875e-05
cupy+cublas+10.200000,128,Producto de Matrices,5,2.1028518676757813e-05
cupy+cublas+10.200000,256,Producto de Matrices,5,4.9066543579101565e-05
cupy+cublas+10.200000,512,Producto de Matrices,5,4.773139953613281e-05
cupy+cublas+10.200000,1024,Producto de Matrices,5,5.2547454833984376e-05
cupy+cublas+10.200000,2048,Producto de Matrices,5,6.098747253417969e-05
cupy+cublas+10.200000,4096,Producto de Matrices,5,0.00010142326354980468
cupy+cublas+10.200000,8192,Producto de Matrices,5,0.00020742416381835938
cupy+cublas+10.200000,64,Producto Punto de Matrices,5,4.038810729980469e-05
cupy+cublas+10.200000,128,Producto Punto de Matrices,5,2.2125244140625e-05
cupy+cublas+10.200000,256,Producto Punto de Matrices,5,2.0742416381835938e-05
cupy+cublas+10.200000,512,Producto Punto de Matrices,5,2.079010009765625e-05
cupy+cublas+10.200000,1024,Producto Punto de Matrices,5,2.6702880859375e-05
cupy+cublas+10.200000,2048,Producto Punto de Matrices,5,2.1028518676757813e-05
cupy+cublas+10.200000,32768,Producto Punto de 2 Vectores,2500,0.0009984566688537597
cupy+cublas+10.200000,65536,Producto Punto de 2 Vectores,2500,3.099985122680664e-05
cupy+cublas+10.200000,131072,Producto Punto de 2 Vectores,2500,5.0186920166015625e-05
cupy+cublas+10.200000,262144,Producto Punto de 2 Vectores,2500,0.00015782594680786133
cupy+cublas+10.200000,524288,Producto Punto de 2 Vectores,2500,0.0003365623474121094
cupy+cublas+10.200000,1048576,Producto Punto de 2 Vectores,2500,0.0006553934097290039
cupy+cublas+10.200000,64,SVD,5,0.23906326293945312
cupy+cublas+10.200000,128,SVD,5,0.011021184921264648
cupy+cublas+10.200000,256,SVD,5,0.03155341148376465
cupy+cublas+10.200000,512,SVD,5,0.11971125602722169
cupy+cublas+10.200000,1024,SVD,5,0.6462301731109619
cupy+cublas+10.200000,2048,SVD,5,4.06794376373291
cupy+cublas+10.200000,32.0,Cholesky,5,0.0007017135620117187
cupy+cublas+10.200000,64.0,Cholesky,5,0.0001979827880859375
cupy+cublas+10.200000,128.0,Cholesky,5,0.00038971900939941404
cupy+cublas+10.200000,256.0,Cholesky,5,0.001208925247192383
cupy+cublas+10.200000,512.0,Cholesky,5,0.005290603637695313
cupy+cublas+10.200000,1024.0,Cholesky,5,0.0278411865234375
cupy+cublas+10.200000,32.0,Eigen,5,0.004211854934692383
cupy+cublas+10.200000,64.0,Eigen,5,0.006609821319580078
cupy+cublas+10.200000,128.0,Eigen,5,0.016369104385375977
cupy+cublas+10.200000,256.0,Eigen,5,0.03978610038757324
cupy+cublas+10.200000,512.0,Eigen,5,0.14007172584533692
cupy+cublas+10.200000,1024.0,Eigen,5,0.5101821422576904
