BLAS,Tamaño,Operación,Iteraciones,Tiempo
f77blas,64,Producto Punto de Matrices,5,0.00015134811401367186
f77blas,128,Producto Punto de Matrices,5,0.00046148300170898435
f77blas,256,Producto Punto de Matrices,5,0.0035028457641601562
f77blas,512,Producto Punto de Matrices,5,0.026038169860839844
f77blas,1024,Producto Punto de Matrices,5,0.20363426208496094
f77blas,2048,Producto Punto de Matrices,5,1.6146881580352783
f77blas,32768,Producto Punto de 2 Vectores,2500,4.8777198791503906e-05
f77blas,65536,Producto Punto de 2 Vectores,2500,9.764995574951172e-05
f77blas,131072,Producto Punto de 2 Vectores,2500,0.0001928410530090332
f77blas,262144,Producto Punto de 2 Vectores,2500,0.00038376436233520506
f77blas,524288,Producto Punto de 2 Vectores,2500,0.0007714226722717285
f77blas,1048576,Producto Punto de 2 Vectores,2500,0.001655191135406494
f77blas,64,SVD,5,0.0007855892181396484
f77blas,128,SVD,5,0.0022925376892089845
f77blas,256,SVD,5,0.011261987686157226
f77blas,512,SVD,5,0.07072467803955078
f77blas,1024,SVD,5,0.45084261894226074
f77blas,2048,SVD,5,3.0866470336914062
f77blas,32.0,Cholesky,5,3.685951232910156e-05
f77blas,64.0,Cholesky,5,5.9652328491210935e-05
f77blas,128.0,Cholesky,5,0.0002690792083740234
f77blas,256.0,Cholesky,5,0.001348257064819336
f77blas,512.0,Cholesky,5,0.008589982986450195
f77blas,1024.0,Cholesky,5,0.058318376541137695
f77blas,32.0,Eigen,5,0.0007187843322753907
f77blas,64.0,Eigen,5,0.0033891677856445314
f77blas,128.0,Eigen,5,0.016878795623779298
f77blas,256.0,Eigen,5,0.1265721321105957
f77blas,512.0,Eigen,5,0.7589917182922363
f77blas,1024.0,Eigen,5,4.467570686340332
