BLAS,Tamaño,Operación,Iteraciones,Tiempo
noblas,64.0,Producto Punto de Matrices,5.0,0.00016164779663085938
noblas,128.0,Producto Punto de Matrices,5.0,0.001409006118774414
noblas,256.0,Producto Punto de Matrices,5.0,0.011780261993408203
noblas,512.0,Producto Punto de Matrices,5.0,0.08654317855834961
noblas,1024.0,Producto Punto de Matrices,5.0,0.6831034660339356
noblas,2048.0,Producto Punto de Matrices,5.0,8.771025323867798
noblas,32768.0,Producto Punto de 2 Vectores,2500.0,4.789505004882813e-05
noblas,65536.0,Producto Punto de 2 Vectores,2500.0,9.821033477783203e-05
noblas,131072.0,Producto Punto de 2 Vectores,2500.0,0.00019092769622802735
noblas,262144.0,Producto Punto de 2 Vectores,2500.0,0.00038306560516357423
noblas,524288.0,Producto Punto de 2 Vectores,2500.0,0.0007661922454833984
noblas,1048576.0,Producto Punto de 2 Vectores,2500.0,0.0016945152282714844
noblas,64.0,SVD,5.0,0.0007351875305175781
noblas,128.0,SVD,5.0,0.002994823455810547
noblas,256.0,SVD,5.0,0.01989879608154297
noblas,512.0,SVD,5.0,0.15659184455871583
noblas,1024.0,SVD,5.0,1.2413816928863526
noblas,2048.0,SVD,5.0,10.172751522064209
noblas,32.0,Cholesky,5.0,6.031990051269531e-05
noblas,64.0,Cholesky,5.0,7.619857788085938e-05
noblas,128.0,Cholesky,5.0,0.0004179954528808594
noblas,256.0,Cholesky,5.0,0.002685546875
noblas,512.0,Cholesky,5.0,0.02287745475769043
noblas,1024.0,Cholesky,5.0,0.16848464012145997
noblas,32.0,Eigen,5.0,0.0005212783813476563
noblas,64.0,Eigen,5.0,0.002571582794189453
noblas,128.0,Eigen,5.0,0.018107843399047852
noblas,256.0,Eigen,5.0,0.16997137069702148
noblas,512.0,Eigen,5.0,1.1168182373046875
noblas,1024.0,Eigen,5.0,7.06667799949646
